b'4.8 km',b'4.3 (1030 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb9962\xe2\x82\xb9',"b'Near Sagar Hospital, Bannerughatta, Bangalore\xc2\xb7\n\n\n\n\n\n\n4.8 km'"
b'2.5 km',b'4.4 (312 Ratings)\xc2\xb7Very Good',b'\xe2\x82\xb91014',"b'Mavalli, Bengaluru\xc2\xb7\n\n\n\n\n\n\n2.5 km'"
b'2.2 km',b'NEW',b'\xe2\x82\xb91216',"b'Annama Temple Extn.Gandhingar, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.2 km'"
b'7.7 km',b'4.6 (35 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb9835\xe2\x82\xb9',"b'India, Bangalore\xc2\xb7\n\n\n\n\n\n\n7.7 km'"
b'1.8 km',b'4.7 (313 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91572',"b'Near Corporation bank, Tasker Town, Bangalore\xc2\xb7\n\n\n\n\n\n\n1.8 km'"
b'2.5 km',b'NEW',b'\xe2\x82\xb9872\xe2\x82\xb9',"b'India, Bangalore\xc2\xb7\n\n\n\n\n\n\n2.5 km'"
b'5.0 km',b'4.7 (734 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91216',"b'Near Ejipura Bus stand, Ashwini Layout, Bangalore\xc2\xb7\n\n\n\n\n\n\n5.0 km'"
b'3.5 km',b'4.6 (987 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb92330',"b'Near Bsnl Office, Emerald Residency, Bangalore\xc2\xb7\n\n\n\n\n\n\n3.5 km'"
b'1.0 km',b'4.7 (323 Ratings)\xc2\xb7Excellent',b'\xe2\x82\xb91457',"b'Near Baldwin Women College, Richmond Town, Bengaluru\xc2\xb7\n\n\n\n\n\n\n1.0 km'"
b'1.9 km',b'5.0 (1 Ratings)\xc2\xb7Fabulous',b'\xe2\x82\xb91484',"b'Near Freedom Park, Gandhi Nagar, Bangalore\xc2\xb7\n\n\n\n\n\n\n1.9 km'"
